,VTI,VEA,VWO,BND,EMB,QQQ,VNQ
1/4/10,0.01667558,0.02690053,0.03414638,0.001143972,0.001473782,0.01464477,-0.004246813
1/5/10,0.003838726,0.000569489,0.003301872,0.00292454,0.006082633,0,-0.001122317
1/6/10,0.001390611,0.000284637,0.006111855,-0.000380261,0.001365182,-0.006031857,-0.001797794
1/7/10,0.004165906,-0.001991456,-0.008644835,-0.000760618,-0.005161153,0.000650169,0.01080602
1/8/10,0.003284398,0.0108323,0.0061277,0.001014994,0.00117458,0.008230476,-0.007349706
1/11/10,0.001378326,0.006204208,0.001405514,0.000380213,0.007577254,-0.004081603,0.005833568
1/12/10,-0.01032344,-0.01149103,-0.0145029,0.003800875,0.000242604,-0.01251082,-0.01672987
1/13/10,0.009388055,0.009356338,0.004035086,-0.00227187,-0.002231309,0.01245085,0.02019055
1/14/10,0.00172233,0.005617999,-0.00236403,0.002403476,-0.005250373,0.000863019,-0.000889502
1/15/10,-0.011348,-0.01620106,-0.01184834,0.000631033,-0.000586429,-0.01164046,-0.00756733
1/19/10,0.01321736,0.01107324,0.01726612,-0.000504489,0.001564828,0.01613962,0.02040816
1/20/10,-0.009268746,-0.02555461,-0.02451667,0.002397507,0.001171713,-0.01438081,-0.01120875
1/21/10,-0.01836454,-0.02074931,-0.02899953,0.001131636,-0.001755587,-0.009364035,-0.02867306
1/22/10,-0.02206142,-0.02236605,-0.02239924,-0.000375954,-0.002833424,-0.02923723,-0.02517168
1/25/10,0.004331378,0.01475009,0.009674162,-0.001383655,0.000391935,0.003396774,0.007042326
1/26/10,-0.004492363,-0.005339671,-0.01916284,0.002393279,-0.000293818,0.000902665,-0.009324045
1/27/10,0.004873585,-0.002087674,-0.002827779,-0.001382265,-0.002253389,0.007891822,0.008941201
1/28/10,-0.01185558,-0.01643752,-0.003867015,0.000377486,-0.003338534,-0.0257271,-0.008628795
1/29/10,-0.01181599,-0.01731995,-0.01035191,0.001257842,-0.002660065,-0.01745117,-0.00564568
2/1/10,0.01526854,0.01917127,0.02873951,-0.000647066,0.00030998,0.01098381,0.01821624
2/2/10,0.0128647,0.01941746,0.004855184,0.000630459,-0.00240119,0.009015331,0.01370818
2/3/10,-0.005008991,-0.01517852,-0.002782712,-0.000630062,-0.001392475,0.005498233,-0.01627327
2/4/10,-0.03110391,-0.03898462,-0.04566208,0.001891474,-0.0101594,-0.02893599,-0.03704558
2/5/10,0.001670072,-0.008804994,-0.001860704,0.001636311,-0.00352182,0.008446753,0.01838854
2/8/10,-0.007780625,-0.00888327,-0.01864183,0.000125591,0.004443123,-0.007212689,-0.02185797
2/9/10,0.01325614,0.02976947,0.03066489,-0.002010253,-0.001206422,0.01031175,-0.003157573
2/10/10,-0.001474145,-0.006216937,-0.00315953,-0.00226615,0.003120334,-0.002087686,0.001949269
2/11/10,0.01070312,0.008445492,0.02456419,-0.001640344,0.00702385,0.0151092,0.00943581
2/12/10,0,-0.002481446,-0.01108534,0.001390301,-0.001494635,0.002060915,0.01185315
2/16/10,0.01679748,0.01585816,0.02554743,0.001262129,0.001696419,0.01279711,0.0283333
2/17/10,0.005566554,0.001224393,0.003812952,-0.002269007,0.004283725,0.005640794,0.009029943
2/18/10,0.00571428,0.009171484,0.002025779,-0.001389774,-0.002380695,0.006282225,0.01491505
2/19/10,0.00355115,-0.009088133,-0.006570592,0,0.003480148,-0.000445856,0.000678245
2/22/10,-0.001592359,0.001528561,0.000508788,-0.000379539,0.000495472,-0.002007588,0.002485328
2/23/10,-0.01205033,-0.01129423,-0.0223748,0.00379693,-0.001584665,-0.01296383,-0.007662839
